KeyName,SCValue,input type,set,MinRange,MaxRange
Patch.x-lower.BCPressure.alltime.Value,[gw],double,Variable,0,10
Patch.x-lower.BCPressure.Cycle,constant,string,Constant,NA,NA
Patch.x-lower.BCPressure.RefGeom,domain,string,Constant,NA,NA
Patch.x-lower.BCPressure.RefPatch,z-lower,string,Constant,NA,NA
Patch.x-lower.BCPressure.Type,DirEquilRefPatch,string,Constant,NA,NA
Patch.x-upper.BCPressure.alltime.Value,[gw],double,Variable,0,10
Patch.x-upper.BCPressure.Cycle,constant,string,Constant,NA,NA
Patch.x-upper.BCPressure.RefGeom,domain,string,Constant,NA,NA
Patch.x-upper.BCPressure.RefPatch,z-lower,string,Constant,NA,NA
Patch.x-upper.BCPressure.Type,DirEquilRefPatch,string,Constant,NA,NA
Patch.y-lower.BCPressure.alltime.Value,[gw],double,Variable,0,10
Patch.y-lower.BCPressure.Cycle,constant,string,Constant,NA,NA
Patch.y-lower.BCPressure.RefGeom,domain,string,Constant,NA,NA
Patch.y-lower.BCPressure.RefPatch,z-lower,string,Constant,NA,NA
Patch.y-lower.BCPressure.Type,DirEquilRefPatch,string,Constant,NA,NA
Patch.y-upper.BCPressure.alltime.Value,[gw],double,Variable,0,10
Patch.y-upper.BCPressure.Cycle,constant,string,Constant,NA,NA
Patch.y-upper.BCPressure.RefGeom,domain,string,Constant,NA,NA
Patch.y-upper.BCPressure.RefPatch,z-lower,string,Constant,NA,NA
Patch.y-upper.BCPressure.Type,DirEquilRefPatch,string,Constant,NA,NA
Patch.z-lower.BCPressure.alltime.Value,0,double,Constant,NA,NA
Patch.z-lower.BCPressure.Cycle,constant,string,Constant,NA,NA
Patch.z-lower.BCPressure.Type,FluxConst,string,Constant,NA,NA
Patch.z-upper.BCPressure.Cycle,prerainrec,string,Constant,NA,NA
Patch.z-upper.BCPressure.pre.Value,0,double,Constant,NA,NA
Patch.z-upper.BCPressure.rain.Value,[rainrate],double,Variable,0.00001,0.05
Patch.z-upper.BCPressure.rec.Value,0,double,Constant,NA,NA
Patch.z-upper.BCPressure.Type,OverlandFlow,string,Constant,NA,NA
Perm.TensorType,TensorByGeom,string,Constant,NA,NA
Phase.Names,water,string,Constant,NA,NA
Phase.RelPerm.GeomNames,domain,string,Constant,NA,NA
Phase.RelPerm.Type,VanGenuchten,string,Constant,NA,NA
Phase.Saturation.GeomNames,domain,string,Constant,NA,NA
Phase.Saturation.Type,VanGenuchten,string,Constant,NA,NA
Phase.water.Density.Type,Constant,string,Constant,NA,NA
Phase.water.Density.Value,1,double,Constant,NA,NA
Phase.water.Mobility.Type,Constant,string,Constant,NA,NA
Phase.water.Mobility.Value,1,double,Constant,NA,NA
Phase.water.Viscosity.Type,Constant,string,Constant,NA,NA
Phase.water.Viscosity.Value,1,double,Constant,NA,NA
PhaseSources.water.Geom.domain.Value,0,double,Constant,NA,NA
PhaseSources.water.GeomNames,domain,string,Constant,NA,NA
PhaseSources.water.Type,Constant,string,Constant,NA,NA
Process.Topology.P,1,integer,Constant,NA,NA
Process.Topology.Q,1,integer,Constant,NA,NA
Process.Topology.R,1,integer,Constant,NA,NA
Solver,Richards,string,Constant,NA,NA
Solver.AbsTol,1.00E-09,double,Constant,NA,NA
Solver.Drop,1.00E-20,double,Constant,NA,NA
Solver.Linear.KrylovDimension,100,integer,Constant,NA,NA
Solver.Linear.MaxRestarts,5,integer,Constant,NA,NA
Solver.Linear.Preconditioner,PFMG,string,Constant,NA,NA
Solver.Linear.Preconditioner.PCMatrixType,FullJacobian,string,Constant,NA,NA
Solver.LSM,none,string,Constant,NA,NA
Solver.MaxIter,55000,integer,Constant,NA,NA
Solver.Nonlinear.DerivativeEpsilon,1.00E-12,double,Constant,NA,NA
Solver.Nonlinear.EtaChoice,Walker1,string,Constant,NA,NA
Solver.Nonlinear.EtaValue,0.01,double,Constant,NA,NA
Solver.Nonlinear.Globalization,LineSearch,string,Constant,NA,NA
Solver.Nonlinear.MaxIter,100,integer,Constant,NA,NA
Solver.Nonlinear.ResidualTol,1.00E-09,double,Constant,NA,NA
Solver.Nonlinear.StepTol,1.00E-20,double,Constant,NA,NA
Solver.Nonlinear.UseJacobian,FALSE,string,Constant,NA,NA
Solver.PrintLSMSink,FALSE,string,Constant,NA,NA
Solver.PrintMask,TRUE,string,Constant,NA,NA
Solver.PrintPressure,TRUE,string,Constant,NA,NA
Solver.PrintSaturation,TRUE,string,Constant,NA,NA
Solver.PrintSpecificStorage,TRUE,string,Constant,NA,NA
Solver.PrintSubsurf,FALSE,string,Constant,NA,NA
Solver.PrintSubsurfData,TRUE,string,Constant,NA,NA
Solver.WriteOverlandSum,FALSE,string,Constant,NA,NA
Solver.WriteSiloEvapTrans,FALSE,string,Constant,NA,NA
Solver.WriteSiloEvapTransSum,FALSE,string,Constant,NA,NA
Solver.WriteSiloMannings,FALSE,string,Constant,NA,NA
Solver.WriteSiloMask,FALSE,string,Constant,NA,NA
Solver.WriteSiloOverlandBCFlux,FALSE,string,Constant,NA,NA
Solver.WriteSiloPressure,FALSE,string,Constant,NA,NA
Solver.WriteSiloSaturation,FALSE,string,Constant,NA,NA
Solver.WriteSiloSlopes,FALSE,string,Constant,NA,NA
Solver.WriteSiloSpecificStorage,FALSE,string,Constant,NA,NA
Solver.WriteSiloSubsurfData,FALSE,string,Constant,NA,NA
SpecificStorage.GeomNames,domain,string,Constant,NA,NA
SpecificStorage.Type,Constant,string,Constant,NA,NA
TimeStep.Type,Constant,string,Constant,NA,NA
TimeStep.Value,1,double,Constant,NA,NA
TimingInfo.BaseUnit,1,double,Constant,NA,NA
TimingInfo.DumpInterval,1,double,Constant,NA,NA
TimingInfo.StartCount,0,integer,Constant,NA,NA
TimingInfo.StartTime,0,double,Constant,NA,NA
TimingInfo.StopTime,101,double,Constant,NA,NA
TopoSlopesX.Geom.domain.Value,0.005,double,Constant,NA,NA
TopoSlopesX.GeomNames,domain,string,Constant,NA,NA
TopoSlopesX.Type,Constant,string,Constant,NA,NA
TopoSlopesY.Geom.domain.Value,0,double,Constant,NA,NA
TopoSlopesY.GeomNames,domain,string,Constant,NA,NA
TopoSlopesY.Type,Constant,string,Constant,NA,NA
Wells.Names,,list,Constant,NA,NA
